City_Id,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Windspeed,Date
1,abong mbang,CM,3.98,13.18,74.39,59,29,2.24,1607372435
2,abu dhabi,AE,24.47,54.37,73.4,56,20,6.93,1607372357
3,acari,PE,-15.43,-74.62,78.08,47,56,11.01,1607372418
4,adeje,ES,28.12,-16.73,66,63,20,8.05,1607372436
5,adrar,MR,20.5,-10.07,63.64,29,64,10.18,1607372414
6,afua,BR,-0.16,-50.39,82.85,77,100,5.82,1607372439
7,aginskoye,RU,51.1,114.53,8.04,90,0,9.33,1607372374
8,ahipara,NZ,-35.17,173.17,68.95,85,84,10.54,1607372415
9,airai,TL,-8.93,125.41,62.98,99,100,1.99,1607372311
10,akcakoca,TR,41.09,31.12,52.66,66,42,4.79,1607372360
11,aktau,KZ,43.65,51.2,10.4,72,0,13.42,1607372379
12,albany,US,42.6,-73.97,30.99,57,88,4,1607372305
13,algiers,DZ,36.75,3.04,60.8,63,20,16.11,1607372396
14,alice springs,AU,-23.7,133.88,71.01,37,100,4.7,1607372423
15,alofi,NU,-19.06,-169.92,82.4,78,75,18.34,1607372325
16,alugan,PH,12.22,125.48,81.39,86,100,11.43,1607372339
17,ambovombe,MG,-25.17,46.08,69.76,81,95,15.75,1607372357
18,ambunti,PG,-4.24,142.84,72.66,99,100,1.01,1607372427
19,amga,RU,60.9,131.96,-8.84,89,100,1.68,1607372342
20,amursk,RU,50.23,136.9,10.94,88,100,8.75,1607372328
21,ancud,CL,-41.87,-73.82,64.4,59,0,18.34,1607372070
22,antipolo,PH,14.59,121.18,78.8,94,90,2.24,1607372307
23,arlit,NE,18.74,7.39,80.73,19,26,7.07,1607372406
24,arman,RU,59.7,150.17,3.85,90,81,10.16,1607372347
25,arraial do cabo,BR,-22.97,-42.03,78.8,78,75,8.05,1607372346
26,arrecife,ES,28.96,-13.55,64.4,72,20,8.05,1607372006
27,arrigorriaga,ES,43.21,-2.89,51.8,57,75,18.34,1607372382
28,asau,RO,46.43,26.4,26.01,23,99,2.71,1607372433
29,aswan,EG,24.09,32.91,69.55,27,0,3.27,1607372409
30,athabasca,CA,54.72,-113.29,39.2,71,100,8.05,1607372404
31,atuona,PF,-9.8,-139.03,78.89,73,0,18.19,1607372312
32,avarua,CK,-21.21,-159.78,84.2,70,32,6.93,1607372326
33,avera,US,33.19,-82.53,54,62,90,13.87,1607372344
34,aykhal,RU,66,111.5,-16.6,75,0,4.47,1607372422
35,azare,NG,11.68,10.19,80.82,18,94,8.84,1607372389
36,bad oldesloe,DE,53.81,10.37,42.01,90,98,1.99,1607372336
